search_objective,optimizer,seed,trial_id,lr,beta,dpo_step,st_tuner_time,ARC-C,GPQA,GSM8K,HellaSwag,PIQA,TruthfulQA,IFEval,Arena-Hard,MT-Bench,AlpacaEval,ELO,Z-Static,Z-Dynamic,Z-All,elapsed_time_sec
Z-Dynamic,RandomSearch,0,6,4e-06,0.02,600,78281.95489201546,70.904434,34.343433,81.88021,80.01394,78.618065,65.989456,72.95243,66.566666,73.07692,38.932346,1084.3948,0.020819917,0.20291781,0.08703733,8741.0
Z-Dynamic,RandomSearch,0,4,4e-06,0.08,1400,79654.2279335022,69.28328,32.32323,76.95224,78.09201,79.10773,64.865685,71.66723,45.933334,58.82353,20.155945,999.9071,-0.5270213,-0.5855931,-0.5483201,20473.4
Z-Dynamic,RandomSearch,0,6,4e-06,0.02,800,81195.65508732796,70.56314,36.868687,81.57695,79.88448,79.37976,65.197296,67.58312,50.933334,65.77181,33.512875,948.1435,0.4270983,-0.28756213,0.16722177,11654.7
Z-Dynamic,RandomSearch,0,4,4e-06,0.08,1600,82579.0267616272,69.28328,32.32323,78.31691,78.0721,78.83569,65.018684,69.68887,48.0,65.460526,21.851723,1061.8447,-0.71395373,-0.42011482,-0.6071032,23398.2
Z-Dynamic,RandomSearch,0,6,4e-06,0.02,1000,84109.25469670296,69.62457,38.38384,84.07885,79.187416,79.542984,65.55958,69.32168,50.9,62.0,29.815321,993.3063,0.4128112,-0.18399829,0.19578956,14568.3
Z-Dynamic,RandomSearch,0,4,4e-06,0.08,1800,85503.8275428772,69.027306,33.838383,77.17968,78.06214,78.78128,64.70287,68.84832,52.533333,66.10738,19.855682,1007.52423,-0.81033796,-0.55924046,-0.7190298,26323.0
Z-Dynamic,RandomSearch,0,6,4e-06,0.02,1200,87022.95489201546,69.453926,35.858585,80.97043,79.77495,79.76061,66.131676,68.95698,59.566666,74.666664,36.140495,1054.4884,0.36890045,0.259486,0.32911336,17482.0
Z-Dynamic,RandomSearch,0,4,4e-06,0.08,2000,88428.5267616272,68.85666,34.848484,77.71039,78.18164,78.83569,65.12491,67.22092,51.266666,66.442955,19.646866,1022.8018,-0.6084402,-0.3377147,-0.50999457,29247.7
Z-Dynamic,RandomSearch,0,4,4e-06,0.08,2031,88881.9271522522,68.686005,33.838383,76.95224,78.17168,78.99891,65.14053,69.79504,51.266666,65.90909,20.18532,1070.0588,-0.6175964,-0.18401714,-0.4599312,29701.1
Z-Dynamic,RandomSearch,0,6,4e-06,0.02,1400,89936.65411076546,69.96587,34.343433,80.06065,79.45628,79.7062,66.44917,66.145546,44.033333,66.0,30.460878,955.0999,0.320906,-0.21239483,0.12697843,20395.7
Z-Dynamic,RandomSearch,0,7,1e-06,0.02,200,91788.49128112794,67.40614,36.868687,86.959816,77.61402,78.29162,60.46324,74.22511,83.933334,86.18421,36.236164,1187.1586,-0.21528699,0.8685886,0.17884961,2902.3
Z-Dynamic,RandomSearch,0,6,4e-06,0.02,1600,92850.25567326546,69.28328,34.848484,84.07885,79.53595,79.37976,66.76089,66.06438,51.9,73.85621,33.50829,1040.3251,0.23724426,0.2295593,0.23444973,23309.3
Z-Dynamic,RandomSearch,0,7,1e-06,0.02,400,94690.89142761233,69.7099,35.858585,86.125854,78.56005,78.40044,64.35173,78.14687,81.066666,88.63636,37.674797,1177.7887,0.14950725,1.1059146,0.4972917,5804.7
Z-Dynamic,RandomSearch,0,6,4e-06,0.02,1800,95763.95489201546,69.19795,35.353535,84.23048,79.69528,79.16213,66.62609,67.88288,50.466667,72.36842,32.004612,1033.9902,0.120853804,0.094687834,0.111338906,26223.0
Z-Dynamic,RandomSearch,0,7,1e-06,0.02,600,97593.1912322998,70.13652,38.88889,81.728584,78.87871,79.27095,65.23599,77.89958,76.9,85.197365,33.967716,1135.0472,0.54603136,0.7967253,0.6371928,8707.0
Z-Dynamic,RandomSearch,0,6,4e-06,0.02,2000,98677.65411076546,69.3686,34.343433,85.291885,79.55586,79.10773,66.81368,66.12183,48.066666,69.60784,32.0357,973.93536,0.11072551,-0.0407834,0.055631362,29136.7
Z-Dynamic,RandomSearch,0,6,4e-06,0.02,2031,99129.25567326546,69.453926,34.343433,84.60955,79.615616,79.27095,66.92612,65.68095,48.066666,66.55844,30.67419,982.6143,0.15497917,-0.123855814,0.05358463,29588.3
Z-Dynamic,RandomSearch,0,8,2e-06,0.08,200,99505.31648073196,67.74744,34.343433,86.429115,77.51444,78.34603,60.961716,73.55816,75.8,79.03226,22.582516,1132.1141,-0.31326205,-0.577844,-0.4094737,374.0
Z-Dynamic,RandomSearch,0,8,2e-06,0.08,400,99879.21650514605,69.28328,33.333332,77.7862,77.88289,78.9445,63.561806,75.88,73.433334,78.85906,23.71701,1079.7732,-0.37174842,-0.4401355,-0.39661646,747.9
Z-Dynamic,RandomSearch,0,8,2e-06,0.08,600,100253.21650514605,69.88055,36.868687,70.88704,78.101974,78.8901,65.07068,74.43245,65.2,74.01316,21.523937,1046.6956,-0.36521107,-0.61489636,-0.45600572,1121.9
Z-Dynamic,RandomSearch,0,7,1e-06,0.02,800,100495.49103698733,70.13652,38.38384,80.97043,79.02808,78.99891,65.97394,77.350044,76.1,82.14286,34.47261,1132.5532,0.41701004,1.0580373,0.65011084,11609.3
Z-Dynamic,RandomSearch,0,8,2e-06,0.08,800,100627.1165295601,69.7099,35.353535,75.435936,78.21151,79.27095,65.48082,75.455345,57.166668,74.01316,18.57363,1047.8895,-0.08843068,-0.31077185,-0.16928202,1495.8
Z-Dynamic,RandomSearch,0,8,2e-06,0.08,1000,101001.1165295601,69.539246,35.353535,75.28431,77.97252,79.651794,65.17276,77.24261,59.833332,73.84106,18.7852,1041.2288,-0.04520309,0.07860791,-0.00018090653,1869.8
Z-Dynamic,RandomSearch,0,8,2e-06,0.08,1200,101375.01643190384,69.62457,35.858585,75.20849,77.92272,79.16213,64.61052,74.43993,61.3,70.32258,22.495028,1018.9247,-0.2939671,-0.51665395,-0.37494415,2243.7
Z-Dynamic,RandomSearch,0,8,2e-06,0.08,1400,101749.01643190384,69.79522,35.353535,73.69219,77.92272,79.434166,65.8136,73.88789,57.933334,67.64706,21.019613,1049.5992,-0.019987296,0.047908675,0.0047021476,2617.7
Z-Dynamic,RandomSearch,0,8,2e-06,0.08,1600,102122.91657838822,69.453926,34.848484,79.15087,77.88289,78.99891,65.87526,73.84168,56.766666,67.54967,19.050209,1021.264,-0.24948038,-0.42388567,-0.31290048,2991.6
Z-Dynamic,RandomSearch,0,8,2e-06,0.08,1800,102496.91657838822,69.19795,35.858585,80.13647,78.00239,78.99891,65.67346,75.00072,60.8,70.19868,20.003641,1028.3506,-0.21832788,-0.19383924,-0.20942292,3365.6
Z-Dynamic,RandomSearch,0,8,2e-06,0.08,2000,102870.81648073196,69.19795,34.848484,75.51175,77.862976,78.9445,65.79135,74.81837,60.8,68.95425,18.976404,1062.411,-0.40159076,0.015446949,-0.24994068,3739.5
Z-Dynamic,RandomSearch,0,8,2e-06,0.08,2031,102928.81648073196,69.539246,35.858585,76.64898,77.912766,78.78128,65.90378,72.92994,60.8,68.83117,19.743763,997.1277,-0.38731655,-0.15808617,-0.30396006,3797.5
Z-Dynamic,RandomSearch,0,7,1e-06,0.02,1000,103397.7908416748,70.56314,37.373737,83.927216,79.27704,79.10773,65.758,77.41498,71.3,80.92105,32.98357,1111.9446,0.45911583,1.1323041,0.70391154,14511.6
Z-Dynamic,RandomSearch,0,9,1e-06,0.04,200,105833.66357169152,66.894196,35.353535,87.26308,77.534355,78.34603,59.770714,71.84958,82.066666,82.432434,31.489351,1189.4938,-0.45450985,0.44396392,-0.12779213,2902.3
Z-Dynamic,RandomSearch,0,7,1e-06,0.02,1200,106300.1912322998,70.64846,36.868687,80.894615,79.286995,79.16213,65.46947,78.34795,72.36667,82.026146,36.98232,1146.4395,0.43345913,1.1494306,0.69381243,17414.0
Z-Dynamic,RandomSearch,1,0,2e-06,0.01,200,688.0018068313598,68.85666,36.868687,88.324486,78.838875,78.618065,63.704185,78.30174,83.566666,83.98693,41.610497,1196.2502,0.6736109,0.96936196,0.7811568,687.9
Z-Dynamic,RandomSearch,1,1,1e-06,0.08,200,691.7018111705779,66.894196,33.333332,84.38211,77.2854,78.23721,58.805683,72.63267,78.066666,82.46753,23.049362,1108.7236,-0.7474388,-0.43899783,-0.63527846,691.6
Z-Dynamic,RandomSearch,1,0,2e-06,0.01,400,1376.0018068313598,71.331055,36.868687,89.23427,79.89444,79.27095,64.27732,78.29675,78.73333,80.844154,42.603886,1186.545,1.21158,0.9725446,1.1246581,1375.9
Z-Dynamic,RandomSearch,1,1,1e-06,0.08,400,1383.4018844127654,68.600685,36.868687,88.24867,77.6439,78.56366,62.025967,74.7372,75.26667,77.27273,24.810251,1128.4648,-0.4013403,-0.20000118,-0.32812607,1383.3
Z-Dynamic,RandomSearch,1,0,2e-06,0.01,600,2063.9018312454227,71.58703,37.373737,89.53753,80.34256,79.05332,66.72491,79.79301,77.6,83.22369,42.558533,1159.0001,1.1256351,1.1775503,1.1445134,2063.8
Z-Dynamic,RandomSearch,1,1,1e-06,0.08,600,2075.001737928391,68.94198,35.858585,83.77559,77.70364,78.56366,63.054966,77.41747,71.2,78.75817,20.788673,1102.8673,-0.61899745,-0.14990772,-0.4484194,2074.9
Z-Dynamic,RandomSearch,1,0,2e-06,0.01,800,2751.9018312454227,71.41638,37.878788,89.00682,80.36248,78.99891,67.35144,75.77134,72.5,82.89474,38.828,1127.2555,0.97565615,1.169846,1.0462706,2751.8
Z-Dynamic,RandomSearch,1,1,1e-06,0.08,800,2766.601835584641,69.3686,37.878788,77.7862,77.912766,78.726875,63.40598,75.57774,67.066666,79.13908,20.862625,1094.3649,-0.31871808,0.19555861,-0.13170837,2766.5
Z-Dynamic,RandomSearch,1,0,2e-06,0.01,1000,3439.8017335891727,70.98976,37.878788,88.17286,80.30273,79.37976,68.02367,74.065254,64.46667,71.73913,39.576057,1046.3877,1.073372,0.7887807,0.9698842,3439.7
Z-Dynamic,RandomSearch,1,1,1e-06,0.08,1000,3458.201933240891,69.3686,36.868687,76.95224,77.843056,78.83569,63.935234,78.63148,66.5,73.202614,20.638,1046.8523,-0.36452207,0.27004537,-0.13377029,3458.1
Z-Dynamic,RandomSearch,1,0,2e-06,0.01,1200,4127.801977729798,71.07509,37.373737,88.324486,80.40231,79.21654,67.64217,74.0053,70.73333,80.7947,39.25667,1117.746,1.0173239,1.0453272,1.027507,4127.7
Z-Dynamic,RandomSearch,1,1,1e-06,0.08,1200,4149.901640272141,69.027306,36.363636,75.966644,77.9526,78.99891,63.690384,77.112724,68.0,79.27631,20.465826,1035.6364,-0.44624102,-0.123448685,-0.328862,4149.8
Z-Dynamic,RandomSearch,1,0,2e-06,0.01,1400,4815.701880073548,71.50171,37.373737,88.17286,80.44215,78.78128,68.078705,71.94577,67.833336,76.97369,36.986008,1079.3888,0.966111,1.1231239,1.0232066,4815.6
Z-Dynamic,RandomSearch,1,1,1e-06,0.08,1400,4841.501737928391,69.19795,36.363636,72.55496,77.862976,78.83569,64.06469,76.55194,63.366665,73.52941,17.526102,1068.6798,-0.46991542,0.23692566,-0.2128823,4841.4
Z-Dynamic,RandomSearch,1,0,2e-06,0.01,1600,5503.601782417298,70.98976,35.858585,87.94541,80.491936,79.27095,67.63485,75.02322,72.066666,80.718956,40.688126,1108.9852,0.9924469,1.330907,1.1155233,5503.5
Z-Dynamic,RandomSearch,1,1,1e-06,0.08,1600,5533.101835584641,69.112625,36.363636,75.20849,77.79327,78.83569,64.13694,76.82422,64.53333,74.666664,19.95446,1054.4865,-0.5346408,0.1013351,-0.30337682,5533.0
Z-Dynamic,RandomSearch,1,0,2e-06,0.01,1800,6191.601782417298,70.904434,35.353535,88.70356,80.611435,79.325356,67.65436,75.20806,69.13333,77.36487,40.27312,1118.0653,0.93575454,1.2097024,1.0353719,6191.5
